A[edit]			
Aaronsburg - Centre County	Allport - Clearfield County	Arnot - Tioga County	
Cairnbrook - Somerset County	Chalkhill - Fayette County	Clay - Lancaster County	Conestoga - Lancaster County
Caln - Chester County	Chase - Luzerne County	Claysburg - Blair County	Conneaut Lakeshore - Crawford County
Calumet - Westmoreland County	Cherryville - Northampton County	Clinton - Allegheny County	Coral - Indiana County
Campbelltown - Lebanon County	Chesterbrook - Chester County	Coburn - Centre County	Cornwells Heights - Bucks County
Canadohta Lake - Crawford County	Chevy Chase Heights - Indiana County	Cochranville - Chester County	Crabtree - Westmoreland County
Carnot-Moon - Allegheny County	Chewton - Lawrence County	Collinsburg - Westmoreland County	Crenshaw - Jefferson County
Cashtown - Adams County	Cheyney University - Chester & Delaware Counties	Colonial Park - Dauphin County	Cross Creek - Washington County
Castanea - Clinton County	Chinchilla - Lackawanna County	Colony Park - Berks County	Crown - Clarion County
Cecil-Bishop - Washington County	Church Hill - Mifflin County	Columbus - Warren County	Croydon - Bucks County
Cedar Crest - Mifflin County	Churchtown - Lancaster County	Colver - Cambria County	Crucible - Greene County
Cementon - Lehigh County	Churchville - Bucks County	Commodore - Indiana County	Cumbola - Schuylkill County
Cetronia - Lehigh County	Clarence - Centre County	Conashaugh Lakes - Pike County	Curtisville - Allegheny County
			
D[edit]			
Dalmatia - Northumberland County	DeSales University - Lehigh County	Douglassville - Berks County	
Dauberville - Berks County	Devon - Chester County	Drexel Hill - Delaware County	
Davidsville - Somerset County	Dewart - Northumberland County	Dry Tavern - Greene County	
Deer Lake - Schuylkill County	Dicksonville - Indiana County	Dryville - Berks County	
Defiance - Bedford County	Donaldson - Schuylkill County	Dunlo - Cambria County	
Delano - Schuylkill County	Dorneyville - Lehigh County	Dunnstown - Clinton County	
			
E[edit]			
Eagle Lake - Lackawanna County	East York - York County	Emerald Lakes - Monroe County	
Eagleview - Chester County	Eddington - Bucks County	Emigsville - York County	
Eagleville - Centre County	Edenborn - Fayette County	Englewood - Schuylkill County	
Eagleville - Montgomery County	Edenburg - Berks County	Enhaut - Dauphin County	
Earlston - Bedford County	Edgewood - Northumberland County	Enlow - Allegheny County	
East Berwick - Luzerne County	Edie - Somerset County	Enola - Cumberland County	
East Earl - Lancaster County	Effort - Monroe County	Espy - Columbia County	
East Freedom - Blair County	Egypt - Lehigh County	Evansburg - Montgomery County	
Eastlawn Gardens - Northampton County	Eighty-Four - Washington County	Exton - Chester County	
East Waterford - Juniata County	Elim - Cambria County	Eyers Grove - Columbia County	
East Salem - Juniata County	Elrama - Washington County		
East Uniontown - Fayette County	Elysburg - Northumberland County		
			
F[edit]			
Fairdale - Greene County	Fayetteville - Franklin County	Foot of Ten - Blair County	Fox Run - Butler County
Fairhope - Fayette County	Feasterville - Bucks County	Force - Elk County	Fredericksburg - Crawford County
Fairless Hills - Bucks County	Fellsburg - Westmoreland County	Forestville - Schuylkill County	Fredericksburg - Lebanon County
Fairview - Erie County	Fernville - Columbia County	Fort Indiantown Gap - Lebanon County	Fredericktown - Washington County
Fairview-Ferndale - Northumberland County	Fernway - Butler County	Fort Loudon - Franklin County	Friedens - Somerset County
Falmouth - Lancaster County	Fivepointville - Lancaster County	Fort Washington - Montgomery County	Friedensburg - Schuylkill County
Farmersville - Lancaster County	Flora Dale - Adams County	Foster Brook - McKean County	Frizzleburg - Lawrence County
Farmington - Fayette County	Flourtown - Montgomery County	Foundryville - Columbia County	Frystown - Berks County
Fawn Lake Forest - Pike County	Flying Hills - Berks County	Fountain Springs - Schuylkill County	Fullerton - Lehigh County
Faxon - Lycoming County	Folsom - Delaware County	Fox Chase - Berks County	
			
G[edit]			
Gap - Lancaster County	Glenshaw - Allegheny County	Grazierville - Blair County	
Garden View - Lycoming County	Glenside - Montgomery County	Greenfields - Berks County	
Gardners - Adams County	Gold Key Lake - Pike County	Greenock - Allegheny County	
Gastonville - Washington County	Goodville - Lancaster County	Greens Landing - Bradford County	
Geneva - Crawford County	Gordonville - Lancaster County	Greenwood - Blair County	
Georgetown - Lancaster County	Gouglersville - Berks County	Grier City - Schuylkill County	
Georgetown - Luzerne County	Gouldsboro - Wayne & Monroe Counties	Grill - Berks County	
Gibraltar - Berks County	Graceton - Indiana County	Grindstone - Fayette County	
Gibsonia - Allegheny County	Grantley - York County	Guilford - Franklin County	
Gilbertsville - Montgomery County	Granville - Mifflin County	Guys Mills - Crawford County	
Glenburn - Lackawanna County	Grapeville - Westmoreland County		
Glen Lyon - Luzerne County	Grassflat - Clearfield County		
			
H[edit]			
Halfway House - Montgomery County	Hegins - Schuylkill County	Holiday Pocono - Carbon County	
Hampton - Adams County	Heidlersburg - Adams County	Homeacre-Lyndora - Butler County	
Hannasville - Venango County	Heilwood - Indiana County	Hometown - Schuylkill County	
Harleigh - Luzerne County	Hemlock Farms - Pike County	Hopeland - Lancaster County	
Harleysville - Montgomery County	Hendersonville - Washington County	Hopwood - Fayette County	
Harmonsburg - Crawford County	Hereford - Berks County	Horsham - Montgomery County	
Harrison City - Westmoreland County	Herminie - Westmoreland County	Hostetter - Westmoreland County	
Hartstown - Crawford County	Hershey - Dauphin County	Houserville - Centre County	
Harwick - Allegheny County	Hickory - Washington County	Hublersburg - Centre County	
Hasson Heights - Venango County	Hickory Hills - Luzerne County	Hudson - Luzerne County	
Haverford College - Delaware County	Highland Park - Mifflin County	Hummels Wharf - Snyder County	
Hawk Run - Clearfield County	Hilldale - Luzerne County	Hunterstown - Adams County	
Hebron - Lebanon County	Hiller - Fayette County	Hyde - Clearfield County	
Heckscherville - Schuylkill County	Hokendauqua - Lehigh County	Hyde Park - Berks County	
			
I[edit]			
Idaville - Adams County	Inkerman - Luzerne County		
Imperial - Allegheny County	Intercourse - Lancaster County		
Indian Mountain Lake - Carbon & Monroe Counties	Iola - Columbia County		
			
J[edit]			
Jacksonville - Centre County	Jamison City - Columbia County	Jonestown - Columbia County	
Jacksonville - Indiana County	Jerome - Somerset County	Julian - Centre County	
Jacksonwald - Berks County	Jerseytown - Columbia County		
James City - Elk County	Joffre - Washington County		
			
K[edit]			
Kapp Heights - Northumberland County	Kerrtown - Crawford County	Kratzerville - Snyder County	
Kelayres - Schuylkill County	Kersey - Elk County	Kreamer - Snyder County	
Kempton - Berks County	King of Prussia - Montgomery County	Kulpsville - Montgomery County	
Kenilworth - Chester County	Kirkwood - Lancaster County	Kutztown University - Berks County	
Kenmar - Lycoming County	Kiskimere - Armstrong County	Kylertown - Clearfield County	
Kennerdell - Venango County	Klingerstown - Schuylkill County		
			
L[edit]			
Lake Arthur Estates - Butler County	Laurelton - Union County	Lemont Furnace - Fayette County	Linntown - Union County
Lake Heritage - Adams County	Laurys Station - Lehigh County	Lenape Heights - Armstrong County	Linwood - Delaware County
Lake Latonka - Mercer County	Lavelle - Schuylkill County	Lenkerville - Dauphin County	Lionville - Chester County
Lake Meade - Adams County	Lawnton - Dauphin County	Level Green - Westmoreland County	Little Britain - Lancaster County
Lakemont - Blair County	Lawrence - Washington County	Levittown - Bucks County	Locustdale - Schuylkill County
Lake Winola - Wyoming County	Lawrence Park - Erie County	Lightstreet - Columbia County	Longfellow - Mifflin County
Lake Wynonah - Schuylkill County	Lawson Heights - Westmoreland County	Lima - Delaware County	Lorane - Berks County
Lamar - Clinton County	Leola - Lancaster County	Lime Ridge - Columbia County	Lower Allen - Cumberland County
Lampeter - Lancaster County	Lebanon South - Lebanon County	Lincoln Park - Berks County	Loyalhanna - Westmoreland County
Landisville - Lancaster County	Leeper - Clarion County	Lincoln University - Chester County	Lucerne Mines - Indiana County
Langeloth - Washington County	Leith-Hatfield - Fayette County	Lincolnville - Crawford County	Lumber City - Mifflin County
Lattimer - Luzerne County	Lemont - Centre County	Linglestown - Dauphin County	Lynnwood-Pricedale - Fayette & Westmoreland Counties
			
M[edit]			
McAlisterville - Juniata County	Marion - Franklin County	Midway - Adams County	Morrisdale - Clearfield County
McConnellstown - Huntingdon County	Marlin - Schuylkill County	Mifflinville - Columbia County	Morrisville - Greene County
McElhattan - Clinton County	Marshallton - Northumberland County	Milford Square - Bucks County	Moshannon - Centre County
McGovern - Washington County	Martins Creek - Northampton County	Millerton - Tioga County	Mount Aetna - Berks County
McKeansburg - Schuylkill County	Masthope - Pike County	Millsboro - Washington County	Mountainhome - Monroe County
McKnightstown - Adams County	Mather - Greene County	Millwood - Westmoreland County	Mountain Top - Luzerne County
McMurray - Washington County	Mattawana - Mifflin County	Milroy - Mifflin County	Mount Cobb - Lackawanna County
Madisonburg - Centre County	Maytown - Lancaster County	Mingoville - Centre County	Mount Eagle - Centre County
Mainville - Columbia County	Meadowlands - Washington County	Mocanaqua - Luzerne County	Mount Gretna Heights - Lebanon County
Maitland - Mifflin County	Meadowood - Butler County	Mohrsville - Berks County	Mount Morris - Greene County
Mammoth - Westmoreland County	Meridian - Butler County	Montandon - Northumberland County	Mount Pleasant Mills - Snyder County
Maple Glen - Montgomery County	Mertztown - Berks County	Montgomeryville - Montgomery County	Muhlenberg Park - Berks County
Mapletown - Greene County	Messiah College - Cumberland County	Montrose Manor - Berks County	Muir - Schuylkill County
Marianne - Clarion County	Mexico - Juniata County	Monument - Centre County	Mundys Corner - Cambria County
Marienville - Forest County	Middletown - Northampton County	Morgantown - Berks & Lancaster County	Muse - Washington County
			
N[edit]			
Naomi - Fayette County	Newmanstown - Lebanon County	North Philipsburg - Centre County	
Needmore - Fulton County	New Market - York County	North Vandergrift - Armstrong County	
Nemacolin - Greene County	New Salem - Fayette County	North Warren - Warren County	
New Bedford - Lawrence County	New Schaefferstown - Berks County	Northwest Harborcreek - Erie County	
New Berlinville - Berks County	Newtown - Schuylkill County	Northwood - Blair County	
New Castle Northwest - Lawrence County	Newtown Grant - Bucks County	Norvelt - Westmoreland County	
New Columbia - Union County	New Tripoli - Lehigh County	Noxen - Wyoming County	
New Freeport - Greene County	Nittany - Centre County	Numidia - Columbia County	
New Jerusalem - Berks County	Nixon - Butler County	Nuremberg - Schuylkill & Luzerne Counties	
New Kingstown - Cumberland County	Noblestown - Allegheny County		
			
O[edit]			
Oak Hills - Butler County	Oberlin - Dauphin County	Oliver - Fayette County	Orrtanna - Adams County
Oakland - Cambria County	Oklahoma - Clearfield County	Oneida - Schuylkill County	Orviston - Centre County
Oakland - Lawrence County	Old Orchard - Northampton County	Orchard Hills - Armstrong County	Orwin - Schuylkill County
Oakwood - Lawrence County	Oley - Berks County	Oreland - Montgomery County	Oval - Lycoming County
			
P[edit]			
Palmdale - Dauphin County	Paxtonville - Snyder County	Pikes Creek - Luzerne County	Plymouth Meeting - Montgomery County
Palmer Heights - Northampton County	Pen Mar - Franklin County	Pine Glen - Centre County	Plymptonville - Clearfield County
Paoli - Chester County	Penn Estates - Monroe County	Pine Grove Mills - Centre County	Pocono Mountain Lake Estates - Pike County
Paradise - Lancaster County	Penns Creek - Snyder County	Pine Ridge - Pike County	Pocono Pines - Monroe County
Pardeesville - Luzerne County	Pennside - Berks County	Plainfield - Cumberland County	Pocono Ranch Lands - Pike County
Paris - Washington County	Penn State Erie (Behrend) - Erie County	Plains - Luzerne County	Pocono Springs - Wayne County
Park Crest - Schuylkill County	Pennville - York County	Pleasant Gap - Centre County	Pocono Woodland Lakes - Pike County
Park Forest Village - Centre County	Pennwyn - Berks County	Pleasant Hill - Lebanon County	Pomeroy - Chester County
Parkville - York County	Penn Wynne - Montgomery County	Pleasant View - Armstrong County	Port Trevorton - Snyder County
Paxtonia - Dauphin County	Penryn - Lancaster County	Plumsteadville - Bucks County	Potlicker Flats - Mifflin County
			
Q[edit]			
Queens Gate - York County			
Quentin - Lebanon County			
			
R[edit]			
Ramblewood - Centre County	Reiffton - Berks County	Riceville - Crawford County	Rossiter - Indiana County
Ranshaw - Northumberland County	Reinerton - Schuylkill County	Richboro - Bucks County	Rote - Clinton County
Raubsville - Northampton County	Reinholds - Lancaster County	Richfield - Juniata & Snyder Counties	Rothsville - Lancaster County
Rauchtown - Clinton County	Rennerdale - Allegheny County	Riverside - Cambria County	Roulette - Potter County
Ravine - Schuylkill County	Renningers - Schuylkill County	Riverview Park - Berks County	Rouzerville - Franklin County
Reamstown - Lancaster County	Republic - Fayette County	Robinson - Indiana County	Rowes Run - Fayette County
Rebersburg - Centre County	Revloc - Cambria County	Rogersville - Greene County	Rupert - Columbia County
Reedsville - Mifflin County	Rew - McKean County	Rohrsburg - Columbia County	Russell - Warren County
Refton - Lancaster County	Reynolds Heights - Mercer County	Ronco - Fayette County	Russellton - Allegheny County
Rehrersburg - Berks County	Rheems - Lancaster County	Ronks - Lancaster County	Rutherford - Dauphin County
			
S[edit]			
St. Michael - Cambria County	Shartlesville - Berks County	Slovan - Washington County	Star Junction - Fayette County
St. Vincent College - Westmoreland County	Shavertown - Luzerne County	Smock - Fayette County	State Line - Franklin County
Salix - Cambria County	Sheatown - Luzerne County	Smoketown - Lancaster County	Stevens - Lancaster County
Salunga - Lancaster County	Sheffield - Warren County	Snydertown - Centre County	Stiles - Lehigh County
Sanatoga - Montgomery County	Shenandoah Heights - Schuylkill County	Soudersburg - Lancaster County	Stonerstown - Bedford County
Sand Hill - Lebanon County	Sheppton - Schuylkill County	South Philipsburg - Centre County	Stonybrook - York County
Sandy - Clearfield County	Shiloh - York County	South Pottstown - Chester County	Stony Creek Mills - Berks County
Sandy Ridge - Centre County	Shippensburg University - Cumberland County	South Temple - Berks County	Stormstown - Centre County
Saw Creek - Pike & Monroe Counties	Sidman - Cambria County	South Uniontown - Fayette County	Stouchsburg - Berks County
Saylorsburg - Monroe County	Sierra View - Monroe County	Southview - Washington County	Stowe - Montgomery County
Schaefferstown - Lebanon County	Siglerville - Mifflin County	Spinnerstown - Bucks County	Strodes Mills - Mifflin County
Schlusser - Cumberland County	Silkworth - Luzerne County	Spring Hill - Cambria County	Strong - Northumberland County
Schnecksville - Lehigh County	Simpson - Lackawanna County	Spring House - Montgomery County	Sturgeon - Allegheny County
Schoeneck - Lancaster County	Skippack - Montgomery County	Spring Mills - Centre County	Summit Station - Schuylkill County
Schubert - Berks County	Skyline View - Dauphin County	Springmont - Berks County	Sunrise Lake - Pike County
Scotland - Franklin County	Slabtown - Columbia County	Spring Mount - Montgomery County	Sun Valley - Monroe County
Seltzer - Schuylkill County	Slatedale - Lehigh County	Spring Ridge - Berks County	Susquehanna Trails - York County
Seneca - Venango County	Slickville - Westmoreland County	Spry - York County	Swartzville - Lancaster County
Shanor-Northvue - Butler County	Slippery Rock University - Butler County	Starbrick - Warren County	Sweden Valley - Potter County
			
T[edit]			
Table Rock - Adams County	Timber Hills - Lebanon County	Trevose - Bucks County	
Taylorstown - Washington County	Tipton - Blair County	Trexlertown - Lehigh County	
Temple - Berks County	Toftrees - Centre County	Trooper - Montgomery County	
Templeton - Armstrong County	Toughkenamon - Chester County	Troxelville - Snyder County	
Tharptown (Uniontown) - Northumberland County	Towamensing Trails - Carbon County	Trucksville - Luzerne County	
The Hideout - Wayne County	Treasure Lake - Clearfield County	Tuscarora - Schuylkill County	
Thompsonville - Washington County	Tresckow - Carbon County	Tyler Run - York County	
Thorndale - Chester County	Trevorton - Northumberland County	Tylersburg - Clarion County	
			
U[edit]			
Union Deposit - Dauphin County			
Unionville - Butler County			
University of Pittsburgh (Johnstown) - Cambria County			
Upper Exeter - Luzerne County			
			
V[edit]			
Valley Green - York County	Village Green-Green Ridge - Delaware County		
Valley View - Schuylkill County	Village Shires - Bucks County		
Valley View - York County	Vinco - Cambria County		
Van Voorhis - Washington County	Virginville - Berks County		
Vicksburg - Union County	Vowinckel - Clarion County		
			
W[edit]			
Wagner - Mifflin County	Wescosville - Lehigh County	West Waynesburg - Greene County	Winfield - Union County
Wakefield - Lancaster County	West Alexander - Washington County	Westwood - Chester County	Witmer - Lancaster County
Wallenpaupack Lake Estates - Wayne County	West Decatur - Clearfield County	West Wyomissing - Berks County	Wolfdale - Washington County
Waller - Columbia County	West Fairview - Cumberland County	White Mills - Wayne County	Woodbourne - Bucks County
Walnuttown - Berks County	West Falls - Wyoming County	Whitfield - Berks County	Woodland Heights - Venango County
Wanamie - Luzerne County	West Hamburg - Berks County	Wickerham Manor-Fisher - Washington County	Woodlyn - Delaware County
Warminster Heights - Bucks County	West Hills - Armstrong County	Wiconisco - Dauphin County	Woodside - Bucks County
Washington Boro - Lancaster County	Westland - Washington County	Wilburton Number One - Columbia County	Woodward - Centre County
Waverly - Lackawanna County	West Lawn - Berks County	Wilburton Number Two - Columbia County	Woxall - Montgomery County
Wayne Heights - Franklin County	West Milton - Union County	Wilcox - Elk County	Wyano - Westmoreland County
Webster - Westmoreland County	West Nanticoke - Luzerne County	Willow Grove - Montgomery County	Wylandville - Washington County
Weedville - Elk County	Weston - Luzerne County	Willow Street - Lancaster County	Wyncote - Montgomery County
Weigelstown - York County	West Pittsburg - Lawrence County	Wind Ridge - Greene County	Wyndmoor - Montgomery County
Weissport East - Carbon County			
			
Y[edit]			
Yeagertown - Mifflin County			
Yorklyn - York County			
Yukon - Westmoreland County			
			
Z[edit]			
Zion - Centre County			
			
Former Census-designated places (Pre 2010 Census)[edit]			
Back Mountain - Luzerne County			
Beaverdale-Lloydell - Cambria County (renamed)			
Bendersville Station-Aspers - Adams County (renamed)			
Calumet-Norvelt - Westmoreland County			
Cashtown-McKnightstown - Adams County			
Devon-Berwyn - Chester County			
Duncott - Schuylkill County			
Fredericktown-Millsboro - Washington County			
Grier City-Park Crest - Schuylkill County			
Grindstone-Rowes Run - Fayette County			
Imperial-Enlow - Allegheny County			
Lavelle-Locustdale - Schuylkill County			
Leacock-Leola-Bareville - Lancaster County			
Lionville-Marchwood - Chester County			
McChesneytown-Loyalhanna - Westmoreland County			
Mechanicsville - Montour County			
New Boston-Morea - Schuylkill County			
New Salem-Buffington - Fayette County			
North Vandergrift-Pleasant View - Armstrong County			
Reinerton-Orwin-Muir - Schuylkill County			
Salix-Beauty Line Park - Cambria County (renamed)			
Salunga-Landisville - Lancaster County			
Springetts Manor-Yorklyn - York County			
Stonybrook-Wilshire - York County			
Sturgeon-Noblestown - Allegheny County			
Tyler Run-Queens Gate - York County			
Warren South - Warren County			
			
